utt,spk,asr,cond,cer,hyp
p04_u68,p04,xlsr-korean,ce10,0.2000,포스는 위원회 민견을 작극적으로 사용하고 관련 결과를 홈페 있에 관비할 예정이다
p04_u68,p04,whisper-small,taps,0.0444,토스는 이원의 의견을 적극적으로 수용하고 관련 결과를 홈페이지에 공개할 예정이다
p04_u68,p04,whisper-small,ce10,0.0667,토스는 기원의 의견을 자극적으로 수용하고 관련 결과를 홈페이지에 공개할 예정이다
p04_u68,p04,whisper-small,taps_notch,0.0222,토스는 이원회의 의견을 적극적으로 수용하고 관련 결과를 홈페이지에 공개할 예정이다
p04_u68,p04,whisper-small,ce10_notch,0.0889,토스는 비현의 의견을 자극적으로 수용하고 관련 결과를 홈페이지에 공개할 예정이다
p04_u68,p04,whisper-small,taps_lpf4k,0.0667,토스는 이원의 의견을 적극적으로 수용하고 관련 결과를 홈페이지에 공개할 예정이다.
p04_u68,p04,whisper-small,ce10_lpf4k,0.0667,토스는 위원회 의견을 자극적으로 수용하고 관련 결과를 홈페이지에 공개할 예정이다.
p04_u68,p04,whisper-small,hyb_tapsLow_ceHigh,0.0889,토스는 리언의 의견을 적극적으로 수용하고 관련 결과를 홈페이지에 공개할 예정이다.
p04_u68,p04,whisper-small,hyb_ceLow_tapsHigh,0.0889,토스는 리언의 의견을 자극적으로 수용하고 관련 결과를 홈페이지에 공개할 예정이다
p04_u69,p04,mms-1b-all,no_se,0.4821,이번 자은 위안의 실범은 더윗터 이용률 고회어 대한 투망사라 놓이는 잡발값 실레 강화할정을 일러하니다
p04_u69,p04,mms-1b-all,taps,0.2857,기번 자문 위언의 실법은 데이터 이용및 보후에 대한 투명성을 높이는 잡발적 실레 강화 할 동의 일루하니다
p04_u69,p04,mms-1b-all,enc5,0.2857,이번 자문 위언의 실법은 데이터의 용및 복구에 대한 투명성을 높이는 잡발적 실뢰 광화 활동의 일루하니다
p04_u69,p04,mms-1b-all,ce0,0.3214,기번 자문 위언의 슬법은 데이터 이용및 보후에 대한 투명성로 높이는 잡발적 실레 강화 할 동을 일러하니다
p04_u69,p04,mms-1b-all,ce10,0.2857,비 자문 위안의 출법은 데이터 용및 보후에 대한 투명성을 높이는 잡발적 진해 강화 활동을 일루하니다
p04_u69,p04,xlsr-korean,no_se,0.6250,그만 박문위원 애출병은 저이파 유량률 고유럽의 한 통등가 알로지야 말 래 강화활동을 이 니다
p04_u69,p04,xlsr-korean,taps,0.1071,이번 자문기원에 을범은 데이터 이용 및 보부에 대한 투명성을 높이는 자발적 신뢰 강화 활동을 일이다
p04_u69,p04,xlsr-korean,enc5,0.1250,이번 자문위원회 수범은 데이터 이용 및 보고에 대한 투명성언로이는 자발적 진뢰 강화 활동의 일이다
p04_u69,p04,xlsr-korean,ce0,0.1786,이번 자문기원했을 범은 데이터 이용 및 보부에 대한 투명성 언높히는 자발적 신뢰 강화 활동을 일이다
p04_u69,p04,xlsr-korean,ce10,0.2143,이번 자문위원회 술법은 데이터 이용및 보부에 대한 투명권언높이는 자발적 진뢰 강화 활동을 일뤄합니다
p04_u69,p04,whisper-small,taps,0.1250,이번 자문위원회 술범은 데이터 이용 및 고구에 대한 투명성을 높이는 자발적 실례 강화 활동의 일론이다.
p04_u69,p04,whisper-small,ce10,0.0536,이번 자문위원회 출범은 데이터 이용 및 보호에 대한 투명성을 높이는 자발적 진례 강화 활동의 일란이다
p04_u69,p04,whisper-small,taps_notch,0.1429,이번 자문위원회 술범은 데이터 이용 및 보호에 대한 투명성을 높이는 자발적 실례 강화 활동을 일화합니다.
p04_u69,p04,whisper-small,ce10_notch,0.0357,이번 자문위원회 출범은 데이터 이용 및 보호에 대한 투명성을 높이는 자발적 진례 강화 활동의 일환이다
p04_u69,p04,whisper-small,taps_lpf4k,0.0893,이번 자문위원회 술범은 데이터 이용 및 보호에 대한 투명성을 높이는 자발적 실례 강화 활동의 일론이다.
p04_u69,p04,whisper-small,ce10_lpf4k,0.0893,이번 자문위원회 출범은 데이터 이용 및 보호에 대한 투명선을 높이는 자발적 진례 강화 활동의 일란이다.
p04_u69,p04,whisper-small,hyb_tapsLow_ceHigh,0.0714,이번 자문위원회 출범은 데이터 이용 및 보호에 대한 투명성을 높이는 자발적 진례 강화 활동의 일론이다.
p04_u69,p04,whisper-small,hyb_ceLow_tapsHigh,0.0179,이번 자문위원회 출범은 데이터 이용 및 보호에 대한 투명성을 높이는 자발적 신뢰 강화 활동의 일환이다.
p04_u70,p04,mms-1b-all,no_se,0.3289,끝스 장계자는 왜부의 귀선을 통해 고격 되이터부 채교의 투망사을 잠감 받고 회선에 나다이 풀요가 있다는 내부 경갑대가 있었다고 살명었다
p04_u70,p04,mms-1b-all,taps,0.1184,토스 관계자는 예부의 시선을 통해 고객 되이터보 채계의 투명성을 점건받고 제선에 나아갈 필요가 있다는 매부 공감대가 있었다고 설명했다
p04_u70,p04,mms-1b-all,enc5,0.1579,국스 관계다는 예부의 시선을 통해 고객 되이터보호 채체의 투명성을 점건받고 개선에 나아갈 필로가 있다는 매부 공감대가 있었다고 설명었다
p04_u70,p04,mms-1b-all,ce0,0.1447,토스 관계자는 예부의 시선을 통해 고격되이터 보호 채제의 투명성을 점건받고 제선에 나아갈 필로가 있다는 매부 공감대가 있었다고 설명했다
p04_u70,p04,mms-1b-all,ce10,0.2368,뜻스 관계자는 왜부의 지선을 동행 고객 되있터 보호 채계의 투망성을 점건받고 대선에 나악갈 필로가 있다는 매부 공감대가 있었다고 살망었다
p04_u70,p04,xlsr-korean,no_se,0.5526,코국프 관계자는 외부육기판을 통해 공격교육파 교속해교육 촉는에까을 경던 밖도 팔선에 나달 필요단는 외부 경감대가 이았고 설려했다
p04_u70,p04,xlsr-korean,taps,0.1316,포스 관계자는 예부이 시선을 통해 고객 데이터 보 체의 틀명성을 점검받고 대선에 다아갈 필요가 있다는 매부 공감대가 있었다고 설명했다
p04_u70,p04,xlsr-korean,enc5,0.1711,쿠스 관계자는 예부이 지선을 통해 고객 데이터 보 최제 이투명성을 전검받고 개선에 다갈 필요가 있다는 내부 공감대가 있었다고 설명했다
p04_u70,p04,xlsr-korean,ce0,0.1974,터스 관계자는 예부이 지선을 통해 고격 데이터 보 최제 이표명성을 전검받고 재선에 다아갈 필요가 있다는 내부 공감대가 있었다고 설명했다
p04_u70,p04,xlsr-korean,ce10,0.2105,프로스 관계자는 외부이 지선을 통해 공역베이터보 세계 표명성을 점검받고 대선에 나아갈 필요가 있다는 내부 공감대가 있었다라고 설명했다
p04_u70,p04,whisper-small,taps,0.1053,포스 관계자는 예부의 시선을 통해 고객 데이터 보고 체계의 투명성을 점검 받고 제선에 나아갈 필요가 있다는 매부 공감대가 있었다고 설명했다.
p04_u70,p04,whisper-small,ce10,0.0658,포스 관계자는 외부의 지선을 통해 고객 데이터 보호체계의 투명성을 점검 받고 개선에 나아갈 필요가 있다는 내부 공감대가 있었다고 설명했다
p04_u70,p04,whisper-small,taps_notch,0.1053,포스 관계자는 예부의 시선을 통해 고객 데이터 보고 체계의 투명성을 점검 받고 제선에 나아갈 필요가 있다는 매부 공감대가 있었다고 설명했다.
p04_u70,p04,whisper-small,ce10_notch,0.0921,포스 관계자는 외부의 지선을 통해 고객 데이터 보호 세계의 투명성을 점검 받고 개선에 나아갈 필요가 있다는 외부 공감대가 있었다고 설명했다.
p04_u70,p04,whisper-small,taps_lpf4k,0.1184,포스 관계자는 예부위 시선을 통해 고객 데이터 보고 체계의 투명성을 점검 받고 최선에 나아갈 필요가 있다는 매부 공감대가 있었다고 설명했다.
p04_u70,p04,whisper-small,ce10_lpf4k,0.1053,포스 관계자는 외부의 지선을 통해 고객 데이터 보호체계의 투명성을 점검 받고 개선에 나갈 필요가 있다는 외부 공감대가 있었다고 설명했다.
p04_u70,p04,whisper-small,hyb_tapsLow_ceHigh,0.1053,포스 관계자는 예부의 시선을 통해 고객 데이터 보고 체계의 투명성을 점검 받고 제선에 나아갈 필요가 있다는 매부 공감대가 있었다고 설명했다.
p04_u70,p04,whisper-small,hyb_ceLow_tapsHigh,0.1053,포스 관계자는 외부의 시선을 통해 고객 데이터 보호체계의 투명성을 점검 받고 제선에 나갈 필요가 있다는 외부 공감대가 있었다고 설명했다.
p04_u71,p04,mms-1b-all,no_se,0.5122,잠은 위원에는 권 환영 고렵배 장부 보호 대하관 저스 위한장으로 진승글 고렵의 장부보호 대하관 저스 인찰준 범무범인 광장 꾸분을 위어너도 이척해 슬범했다
p04_u71,p04,mms-1b-all,taps,0.3659,자문 예언에는 곧 헌영 고려대 장보 보호 대하관 교술를 위언장으로 김승그 고려데 장보보호 대하관 견수 김철 준 법무범인 광강 꾸분을 위언어도 있촉해 출범했다
p04_u71,p04,mms-1b-all,enc5,0.4024,감문 위원에는 곧 환영 고려대 장보 보호 대하관 교술 위언장으로 김중그 고려데 장보보호 대하관 견주 김철 준 범무범인 광강 구분을 위언으로 있촉해 즐범했다
p04_u71,p04,mms-1b-all,ce0,0.4024,자문 위원에는 곧 환영 고려대 장부 보호 대하관 교술를 위언장으로 짐승그 고려데 장부 보호 대하관 견수 짐철 준 더무범인 광장하 구분을 위원으로 있촉해 술범했다
p04_u71,p04,mms-1b-all,ce10,0.3049,잠문 위원에는 권 환영 고려대 장복보호 대하관 교을 위원장으로 김승그 고려대 장복보호 대하관 긴수 김철 준 법무범인 광장 포분을 위원으로 있촉해 출범했다
p04_u71,p04,xlsr-korean,no_se,0.4878,반문위원에는 권 환영 고렵의 방대화원 교수를 위한 다위로 근고려의 북보대학원 교수 종 법물병인 광강 고근 을비원으로돌범했다
p04_u71,p04,xlsr-korean,taps,0.1951,자문위원회는 권 관영 고려대 정부호 대학원 교수를 위원장으로 김승 구 고려대 장부보호 대학원 교수 김찰중 법무범인 광강 고분을 위원으로 위촉해 출범했다
p04_u71,p04,xlsr-korean,enc5,0.2195,강문위원회는 권 환영 고려대 정부보호 대학원 교수를위원장으로 김승구 고려대 장부보호 대학원 교수 김찰쯤 법무법인 광강 고분의지원으로 위촉해 출범했다
p04_u71,p04,xlsr-korean,ce0,0.2195,박문위원회는 권 환영 고려대 정보보호 대학원 교수를 위원장으로 김승 구 고려대 정부보호 대학원 교속 김찰중 법무범인 광장 고분의비원으로 위촉해 범했다
p04_u71,p04,xlsr-korean,ce10,0.2439,양문위원회는 우 환영 고려대 정부보호 대학원 교수를 위원장으로 김승구 고류대 정북보부 대학원 교수 김찰중 법부법인 광광한 고분을 위원으로 위촉해 풀검했다
p04_u71,p04,whisper-small,taps,0.1585,"자문위원회는 권헌영 고려대정보보호대학원 교수를위원장으로 김승구 고려대정보보호대학원 교수, 김철준 법무범인 광강고분을위원으로 위축해 출범했다."
p04_u71,p04,whisper-small,ce10,0.1585,자문위원회는 권헌영 고려대 정보보호 대학원 교술비원장으로 김승구 고려대 정보보호 대학원 교수 김철준 덤부범인 광장 부분을 위원으로 위촉해 출범했다
p04_u71,p04,whisper-small,taps_notch,0.1585,자문위원회는 권헌영 고려대정보보호대학원 교수를위원장으로 김승구 고려대정보보호대학원 교수 김철준 덧무범인 광강고분을위원으로 위축해 출범했다.
p04_u71,p04,whisper-small,ce10_notch,0.1585,자문위원회는 권 환영 고려대 정보보호 대학원 교술비원장으로 김승구 고려대 정보보호 대학원 교수 김철준 법무범인 광장 부분을 위원으로 위촉해 출범했다
p04_u71,p04,whisper-small,taps_lpf4k,0.1463,자문기원회는 권헌영 고려대정보보호대학원 교수를위원장으로 김승구 고려대정보보호대학원 교수 김철준 법무범인 광강고분을위원으로 위촉해 출범했다.
p04_u71,p04,whisper-small,ce10_lpf4k,0.2683,"자문위원회는 권 환영 고려대 정보보호 대학원 교술비원장으로 김승구 고려대 정보보호 대학원 근주, 김철준 법무범인 광장 부분을 위촉해 출범했다."
p04_u71,p04,whisper-small,hyb_tapsLow_ceHigh,0.1951,자문기원회는 권헌영 고려대정보보호대학원 교술위원장으로 김승구 고려대정보보호대학원 교수 김철준 덧무범인 광강고분을기원으로 위촉해 출범했다.
p04_u71,p04,whisper-small,hyb_ceLow_tapsHigh,0.2195,자문위원회는 권환영 고려대정보보호대학원 교술위원장으로 김승구 고려대정보보호대학원 교수 김철준 법무범인 광장고분을 위축해 출범했다.
p04_u72,p04,mms-1b-all,no_se,0.6769,권 환명 조수는 현대 하니극 경부 기을 사비사 합게 해장으과 하니극 경부 보소 합에 죄인정부 보소 연히도 결장을 맡은 정부 보호분야 전문이가이다
p04_u72,p04,mms-1b-all,taps,0.3385,권 헌형 교수는 전재 한국 정보 기을 섬비스 학게 세장과 한국 정보 보호 학게 개인 정보 보호 연구회당을 맡은 정보 보호분야 전문 갈라
p04_u72,p04,mms-1b-all,enc5,0.3692,권 헌형 조수는 현재 산국 경보 기을 섬빛사 학게 회장과 한국 경보 보호 학게 개인 정보 보호 연구회당을 맡은 정보 보호비야 전문가다
p04_u72,p04,mms-1b-all,ce0,0.3231,권 헌형 교수는 현재 한국 정복 귀을 섬비 상게 세장과 한국 정보 보호 학해 개인 정보 보호 연구회장을 맡은 정보 보호분야 전문가라
p04_u72,p04,mms-1b-all,ce10,0.4000,두원 환형 교수는 현재 한국 정보 기을 섬백 상게 세장과 한국 정보 보호 학해 계운 정보 보호 연구 회장을 맡은 정보 보호분야 전문가에다
p04_u72,p04,xlsr-korean,no_se,0.7231,그권번 관량인 교수는 현재  광부 비주 법이 과 개방다 병부 보수 거근을 고인당부 골수 면두 회견을 맞든 정보 보부 분 전문이 나다
p04_u72,p04,xlsr-korean,taps,0.2308,권관여 교수는 현재 한국 정보기술서비스해 세장과 한국 정부 보호 학페 개인정보 보호 연구 회장을 맡은 정보 보분야 전문가다
p04_u72,p04,xlsr-korean,enc5,0.2308,권관영 교수는 현재 한국 정보 기술서비스해 회장과 한 정보 보호학해 개인정국 보후 연구 회장을 맡은 정보 보이야 전문가다
p04_u72,p04,xlsr-korean,ce0,0.2769,권관영 교수는 현재 한국 정부비술서비상케 세장과 한국 정보 보호학에 개인정부 보후 연구 회장을 맡은 정보 보등야 전문가다
p04_u72,p04,xlsr-korean,ce10,0.3231,권환영 교수는 현재 한국 정보 기술서비상크의 서장과 한정보 보소에 교융정보 보소 연구 회장을 맡큼 경보 보분야 전문가다
p04_u72,p04,whisper-small,taps,0.1077,권헌영 교수는 현재 한국정보기술서비스학회 세장과 한국정보보호학회 개인정보보호연구회담을 맡은 정보보호분야 전문가이다.
p04_u72,p04,whisper-small,ce10,0.1385,부원헌영 교수는 현재 한국정보기술서빅상회 회장과 한국정보보호학회 개인정보보호연구회장을 맡은 정보보호분야 전문가이다
p04_u72,p04,whisper-small,taps_notch,0.1077,권헌영 교수는 현재 한국정보기술서비스학회 세장과 한국정보보호학회 개인정보보호연구회담을 맡은 정보보호분야 전문가이다.
p04_u72,p04,whisper-small,ce10_notch,0.1385,부원헌영 교수는 현재 한국정보기술서빅상회 회장과 한국정보보호학회 개인정보보호연구회장을 맡은 정보보호분야 전문가이다
p04_u72,p04,whisper-small,taps_lpf4k,0.0769,권헌영 교수는 현재 한국정보기술서비스학회 회장과 한국정보보호학회 개인정보 보호연구회장을 맡은 정보보호분야 전문가가
p04_u72,p04,whisper-small,ce10_lpf4k,0.1538,부원헌영 교수는 현재 한국정보기술서빙상회 회장과 한국정보보호학회 개인정보보호연구회장을 맡은 정보보호분야 전문가이다.
p04_u72,p04,whisper-small,hyb_tapsLow_ceHigh,0.0769,권헌영 교수는 현재 한국정보기술서비스학회 회장과 한국정보보호학회 개인정보 보호연구회장을 맡은 정보보호분야 전문가가
p04_u72,p04,whisper-small,hyb_ceLow_tapsHigh,0.1846,부원헌영 교수는 전제 한국경보기술서비스상회회장과 한국정보보호학회 개인정보보호연구회장을 맡은 정보보호분야 전문가이다.
p04_u73,p04,mms-1b-all,no_se,0.5593,인성의 제여으도 아무앞다 라이바 부한 분야아의 점문아로 대통령 식속 자차사나 통량 위언에 위언으로 활동안바있다
p04_u73,p04,mms-1b-all,taps,0.3729,김승국교스도 아무학과 라이버보한 분야의 점문가로 대통령 직속 사차 사람 탕량 위언에 위언으로 활동안 빠였다
p04_u73,p04,mms-1b-all,enc5,0.3559,김승주교스도 아무학과 s이버보한 분야의 전문가로 배통령 직속 사차 사앞 평령 지언에 이언으로 활동안 바있다
p04_u73,p04,mms-1b-all,ce0,0.4746,김층주교스도 아무학과 w버 보한 분야의 점문가로 대통령 직속 4차 사람 청령 이언에 이언으로 혈동안 빠입다
p04_u73,p04,mms-1b-all,ce10,0.3729,김승주교소도 아무학과 라버보한 분야의 점문가로 배통령 직속 사차 사로 평령 위원에 유원으로 혈동안바있다
p04_u73,p04,xlsr-korean,no_se,0.6102,문편 비교독 항홍학경 라이버  군 때이나로 여평는 북법 락폭는 위원의 위연으로 활동안 다
p04_u73,p04,xlsr-korean,taps,0.2034,김승북 교수도 안무학과 사이버 무안 분야 전문가로 대통령 직속 사 차 산업 혁년 비원의 위원으로 활동한 바 있다
p04_u73,p04,xlsr-korean,enc5,0.2712,김승주 교수속 안무학과 사이버 부안 분야 전문가로 대통령 집속 사 차 장업 혁명 지연의 지원으로 활동안 바 있다
p04_u73,p04,xlsr-korean,ce0,0.2542,김승주 교수도 아무학과 나이버 위안 분야 전문가로 대통령 직속 사 차 산업 성년 지원의 의원으로 활동안 바 있다
p04_u73,p04,xlsr-korean,ce10,0.3051,김승수 교속 안무학과 딸법 안분야 전문가로 대통령 교속 차 산업혁명 위원의 위원으로 활동한 바다
p04_u73,p04,whisper-small,taps,0.1864,김승구 교수도 암호학과 라이버 보안 분야의 전문가로 대통령 직속 4차 산업학량기원의 위원으로 활동한 바 있다.
p04_u73,p04,whisper-small,ce10,0.1864,김승주 교수도 암흑학과 라이버 부안 분야의 전문가로 배통령 직속 4차 산업평명지원회 지원으로 활동한 바 있다
p04_u73,p04,whisper-small,taps_notch,0.1864,김승구 교수도 암호학과 라이버 보안 분야의 전문가로 대통령 직속 4차 산업학량기원의 위원으로 활동한 바 있다.
p04_u73,p04,whisper-small,ce10_notch,0.1864,김승주 교수도 암흑학과 라이버 부안 분야의 전문가로 대통령 직속 4차 산업통룡기원회 기원으로 활동한 바 있다
p04_u73,p04,whisper-small,taps_lpf4k,0.2203,김승부 교수도 암호학과 라이버 보안분야의 전문가로 대통령 직속 4차 산업탕량기원의 기원으로 활동한 바 있다.
p04_u73,p04,whisper-small,ce10_lpf4k,0.1695,김승주 교수도 암흑학과 라이버 부안 분야의 전문가로 대통령 직속 4차 산업청명지원회 지원으로 활동한 바 있다
p04_u73,p04,whisper-small,hyb_tapsLow_ceHigh,0.2203,김승부 교수도 암호학과 라이버 보안 분야의 전문가로 대통령 직속 4차 사라탕명기원의 기원으로 활동한 바 있다.
p04_u73,p04,whisper-small,hyb_ceLow_tapsHigh,0.1525,김승주 교수도 암홍학과 바이벌 보안 분야의 전문가로 대통령 직속 4차 산업혁명주의원회 위원으로 활동한 바 있다
p04_u74,p04,mms-1b-all,no_se,0.5224,금찰뿐 범문은 11한간는 그명 관독에서 그면관을 알피 범은 점사를 지행했고 이후 금명해사 정부보 채고처임자 야인냈다
p04_u74,p04,mms-1b-all,taps,0.3433,겸철존 고문는 1기영간 금명 당국에서 금명관의 아이티 봉은 검사를 지앙했고 이후 금명에서 정보보호 책고 책임자 여임했다
p04_u74,p04,mms-1b-all,enc5,0.3433,김철준 고문은 1지영간 금명당국에서 금명관의 아i티 부은 검사를 지앙했고 이수 금명에서 정보보호 책고 책임재 여임했다
p04_u74,p04,mms-1b-all,ce0,0.3881,금찰준 고문는 지지 영간 금명 당속에서 금용관의 it 보은 검사를 지행했고 이후 금명에서 정복보 채고책임재 여임했다
p04_u74,p04,mms-1b-all,ce10,0.3582,김찰둔 고문은 17영간 금명 당국에서 금영권의 it 보은 검사를 지행했고 이수 금명에사 정보보 책고 책임재 려임했다
p04_u74,p04,xlsr-korean,no_se,0.5970,터 뿐 경문는 십일간음무인단국에서 음영권을 아교 부문 검사을 기행했고 음영하파 방북  교도 초다  이했다
p04_u74,p04,xlsr-korean,taps,0.2090,김찰중 고문는 십 칠 년간 금융당국에서 금융권의 아이기 본문 검사를 진행했고 이후 금명에사 정보보 최고 책임자력임했다
p04_u74,p04,xlsr-korean,enc5,0.2239,김찰중 고문는 십 칠 년간 금요당국에서 금융권의 아이기 부문 검사를 진행했고 이후 금용에사 정보 보 최고 책임자력임했다
p04_u74,p04,xlsr-korean,ce0,0.2687,경찰등 고문는 십 칠 년간 금요당속에서 금융권의 아이기 본은 검사를 진행했고 이후 금명에사 정보보 최고 책임자 력임 했다
p04_u74,p04,xlsr-korean,ce10,0.2687,경찰등 고무는 십 칠 년간 금요당국에서 금융권의 아이키 본 검사를 진행했고 이후 금융외사 정보 보 최고 책임자력임 했다
p04_u74,p04,whisper-small,taps,0.2985,김철준 고무는 17년간 금융당국에서 금융권의 IT봉은 검사를 진행했고 이후 금융에서 정보고 최고 책임자를 여김했다.
p04_u74,p04,whisper-small,ce10,0.1940,김철준 군무는 17년간 금융당국에서 금융권의 IT 부문 검사를 진행했고 이후 금융회사 정보보호 최고 책임재를 역임했다
p04_u74,p04,whisper-small,taps_notch,0.2687,김철준 고무는 17년간 금융당국에서 금융권의 IT봉은 검사를 진행했고 이후 금융에서 정보고 최고 책임자를 역임했다.
p04_u74,p04,whisper-small,ce10_notch,0.1940,김철준 군무는 17년간 금융당국에서 금융권의 IT 부문 검사를 진행했고 이후 금융회사 정보보호 최고 책임재를 역임했다
p04_u74,p04,whisper-small,taps_lpf4k,0.2239,김철준 고무는 17년간 금융당국에서 금융권의 아이키봉은 검사를 진행했고 이후 금융회사 정보고 최고 책임대를 역임했다.
p04_u74,p04,whisper-small,ce10_lpf4k,0.1791,김철준 고문은 17년간 금융강국에서 금융권의 IT 부문 검사를 진행했고 이후 금융회사 정보보호 최고 책임재를 역임했다.
p04_u74,p04,whisper-small,hyb_tapsLow_ceHigh,0.2388,김철준 고무는 17년간 금융당국에서 금융권의 아이키봉은 검사를 진행했고 이후 금융회사 정보고 최고 책임될 역임했다.
p04_u74,p04,whisper-small,hyb_ceLow_tapsHigh,0.1493,김철준 고문은 17년간 금융당국에서 금융권의 IT 부문 검사를 진행했고 이후 금융회사 정보보호 최고 책임자를 역임했다.
p04_u75,p04,mms-1b-all,no_se,0.6143,구원드시다 총남 개처로 많음한 모발일 시협카랑 상송던 공원주 터우다 두작 바행을 205접 손인수법원을 돌타했다고 스들의 바쳤다
p04_u75,p04,mms-1b-all,taps,0.4571,공주시가 풍함체초로 바령한 모발일 지역 타랑 항품권 경접배이가 두적바행에 205력 75원을 돌파했다고 시일일 밝겼다
p04_u75,p04,mms-1b-all,enc5,0.4286,공주시가 궁남 제초로 바행한 모발일 지역 타랑 항품건 경접태이가 두적 바행객 205백75원을 돌파했다고 시일일 발겼다
p04_u75,p04,mms-1b-all,ce0,0.4571,공주시가 평함 제초로 바련한 모발일 지역 타랑 상품건 정죽 텔가 두적 바행에 205럽 7수보건을 돌파했다고 집일일 밝겼다
p04_u75,p04,mms-1b-all,ce10,0.4714,공주시가 총함 체초로 바행한 모발일 지역 사랑 상품권 경접태위가 부적바행객 20575건을 돌파했다고 시비일 달리겼다
p04_u75,p04,xlsr-korean,no_se,0.6714,공식 부당 플한 표표로 반하면 올발 육력팔라 성품권 군해 결과 불법방 육어력 교육조 법원을 돌할다고 이을 밝혔다
p04_u75,p04,xlsr-korean,taps,0.2857,공도시가 성남 최초로 가영한 모바일 지역 탈량 항품권 등급 회이가 부적 발행이천 오백 칠십 억 원을 돌파했다고 시 위를 밝혔다
p04_u75,p04,xlsr-korean,enc5,0.2143,공조시가 국남 최초로 가행한 모바일 지역 다량 상품권 경조 대이가 부적 발행이천 오백 칠십 억 원을 돌파했다고 십 이 일 밝혔다
p04_u75,p04,xlsr-korean,ce0,0.3143,공소 씨가 총남 최초로 가영한 모바일 지역 다락 상송권 경수 대이가 부적 발행이천 오 려 칠십 억원을 돌파했다고 십 이 일 밝혔다
p04_u75,p04,xlsr-korean,ce10,0.2714,공교수가 성남 대초로 반행한 모바일지격 사량 상품권 공수 파가 부적 발행 이천 오백 칠십 억원을 돌파했다고 십 위를 밝혔다
p04_u75,p04,whisper-small,taps,0.3857,공주시가 충남체처로 발행한 모바일 지역타랑 항분권 경주폐위가 부적 반행액 2570억 원을 돌파했다고 시비를 밝혔다.
p04_u75,p04,whisper-small,ce10,0.3429,"공주시가 충남 최초로 반응한 모바일 지역사랑 상품권 공주팰과 부적 반응액 2,570억 원을 돌파했다고 11일 당겼다"
p04_u75,p04,whisper-small,taps_notch,0.3857,공주시가 충남체처로 발행한 모바일 지역타랑 항분권 경주폐위가 부적 반행액 2570억 원을 돌파했다고 시비를 밝혔다.
p04_u75,p04,whisper-small,ce10_notch,0.3714,"공주시가 총남 최초로 반응한 모바일 지역사랑 상품권 공주팰과 부적 반응에 2,570억 원을 돌파했다고 11일 반겼다"
p04_u75,p04,whisper-small,taps_lpf4k,0.4286,공주시가 충남체처로 발행한 모바일 지역타랑 항분권 경주폐위가 부적 반행액 2575번을 돌파했다고 시비를 밝혔다.
p04_u75,p04,whisper-small,ce10_lpf4k,0.3571,"공주시가 총남 최초로 반응한 모바일 지역사랑상품권 공주팰과 부적 반응액 2,570억원을 돌파했다고 11일 달췄다"
p04_u75,p04,whisper-small,hyb_tapsLow_ceHigh,0.3429,공주시가 충남 최초로 발행한 모바일 지역타랑 항분권 경주폐위가 부적 반행액 2570억 원을 돌파했다고 시비를 밝혔다.
p04_u75,p04,whisper-small,hyb_ceLow_tapsHigh,0.3571,공주시가 충남 최초로 발행한 모바일 지역 타랑 상품권 경주팰과 부적 반행액 2570억 원을 돌파했다고 시비를 덜켰다
p04_u76,p04,mms-1b-all,no_se,0.6349,2010년 8월 7c후 인한 8개할 많은 오월 11 누작 바랑에 205답 킬세 먹원을 잘성했다
p04_u76,p04,mms-1b-all,taps,0.5238,2천19년 8월 출시후 이면 팔개월 만인 5월11 구적 바행에 209 7법 원을 달성었다
p04_u76,p04,mms-1b-all,enc5,0.6190,209년 8월 cc후 2면 8개월 마인 5월11 두적 바행에 20975 원을 달성했다
p04_u76,p04,mms-1b-all,ce0,0.6032,2019년 8월 출시후후 육년 타개월 많은 5월11 부적 바량에 205 7스법 원을 달성었다
p04_u76,p04,mms-1b-all,ce10,0.5873,2019년 8월 출c이후 유년 8개월 만인 5월11 부적발행에 20575 원을 달상었다
p04_u76,p04,xlsr-korean,no_se,0.5238,편 십 구는 팔 월 뚫기 이 등는남 팔결  오 월 로 불평 바량의 루천오백 백먹거을 발당했다
p04_u76,p04,xlsr-korean,taps,0.1587,이천 십 구 년 팔 월 출시 이후 일년 팔겨월 만인 오 월 십 일 구조 발행앱 이천 오백 칠십 억원을 발성했다
p04_u76,p04,xlsr-korean,enc5,0.1270,이천 십 구 년 팔 월 칠시 이후 이년 팔겨 만인 오 월 십 일 유조 발행액 이천 오백 칠십 억원을 달성했다
p04_u76,p04,xlsr-korean,ce0,0.1905,이천 십 구 년 팔 월 출시 이후 전년 팔겨 만인 오 월 십 일 무조 발량의 이천 오백 칠십 억원을 달선났다
p04_u76,p04,xlsr-korean,ce10,0.2063,이천 십 구 년 팔 월 칠십 이후 작년 팔견 만인 오 월 십 이 무역 발량액 이천 오백 칠십 억원을 발성했다
p04_u76,p04,whisper-small,taps,0.4921,2019년 8월 출시 이후 2년 8개월 만인 5월 12일 구적발행액 2570억 원을 발성했다.
p04_u76,p04,whisper-small,ce10,0.5079,"2019년 8월 7시 2년 8개월 만인 5월 12일 무적 발행액 2,570억 원을 달성했다"
p04_u76,p04,whisper-small,taps_notch,0.4921,2019년 8월 출시 이후 2년 8개월 만인 5월 12일 구적발행액 2570억 원을 발성했다.
